,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
63082,Global,WLD,2000,25453.62214,9203.117603,10302.09059,4731.291034,721.927315,278.928472,216.267121,4.139541
63083,Global,WLD,2001,25668.04833,9255.256797,10390.66898,4773.584851,754.331663,281.128017,213.078023,4.119578
63084,Global,WLD,2002,26281.03747,9678.959137,10385.86418,4905.85364,796.052479,298.553835,215.754196,4.163394
63085,Global,WLD,2003,27651.59645,10518.46364,10679.65445,5081.468111,852.252693,299.375515,220.382043,4.324685
63086,Global,WLD,2004,28636.69504,10871.58434,11042.50463,5257.190057,910.566319,323.802545,231.047147,4.422142
63087,Global,WLD,2005,29614.60226,11543.33488,11139.39918,5380.665522,964.306101,345.09423,241.80235,4.515677
63088,Global,WLD,2006,30593.11679,12188.84028,11246.32155,5506.809201,1051.668722,346.860142,252.616896,4.606415
63089,Global,WLD,2007,31506.7892,12776.36025,11283.66534,5694.133805,1129.389392,363.985324,259.25509,4.684364
63090,Global,WLD,2008,32085.83632,13192.79664,11251.32508,5864.291234,1143.738362,374.074157,259.610844,4.710472
63091,Global,WLD,2009,31564.03069,13016.428,10996.94868,5751.954007,1175.729621,379.401924,243.568467,4.575621
63092,Global,WLD,2010,33364.3465,13926.62092,11359.88272,6195.343757,1254.87809,381.650481,245.970526,4.776158
63093,Global,WLD,2011,34487.01162,14737.12579,11388.08551,6366.902202,1349.799508,370.279857,274.81875,4.875781
63094,Global,WLD,2012,35006.26758,14922.7594,11541.70714,6500.593776,1384.570572,380.351189,276.285502,4.887984
63095,Global,WLD,2013,35319.20162,15024.48603,11626.44596,6542.527061,1444.086043,387.535385,294.121144,4.871215
63096,Global,WLD,2014,35577.53477,15051.51277,11678.78215,6654.555376,1499.912273,387.901908,304.870299,4.847727
63097,Global,WLD,2015,35558.56574,14710.08747,11929.66576,6788.073864,1444.435868,383.533695,302.769077,4.788002
63098,Global,WLD,2016,35524.19321,14360.60525,12023.83328,6973.648992,1487.616801,378.385157,300.103737,4.728065
63099,Global,WLD,2017,36096.73928,14506.97381,12242.62794,7144.928128,1507.923185,391.992176,302.294047,4.749682
63100,Global,WLD,2018,36826.5066,14746.83069,12266.01629,7529.846784,1569.218392,412.115746,302.478706,4.792753
63101,Global,WLD,2019,37082.55897,14725.97803,12345.65337,7647.52822,1617.506786,439.253991,306.638573,4.775633
63102,Global,WLD,2020,35264.08573,14174.56401,11191.80855,7556.290283,1637.537532,407.583673,296.301685,4.497423
63103,Global,WLD,2021,37123.85035,14979.59808,11837.15912,7921.829472,1672.592372,416.525563,296.145746,4.693699
